title,url,author,release_date,language,reading_level,downloads_last_30d
The Wind in the Willows,https://www.gutenberg.org/ebooks/289,Kenneth Grahame,"Jul 1, 1995",English,Fairly easy to read.,22940
War and Peace,https://www.gutenberg.org/ebooks/2600,graf Leo Tolstoy,"Apr 1, 2001",English,Difficult to read.,22576
Adventures of Huckleberry Finn,https://www.gutenberg.org/ebooks/76,Mark Twain,"Jun 29, 2004",English,Plain English. Easily understood.,21580
Ulysses,https://www.gutenberg.org/ebooks/4300,James Joyce,"Jul 1, 2003",English,Very easy to read.,21222
The divine comedy,https://www.gutenberg.org/ebooks/8800,Dante Alighieri,"Sep 1, 2005",English,Plain English. Easily understood.,19361
Great Expectations,https://www.gutenberg.org/ebooks/1400,Charles Dickens,"Jul 1, 1998",English,Fairly easy to read.,18913
Three men in a boat (to say nothing of the dog),https://www.gutenberg.org/ebooks/308,Jerome K. Jerome,"Aug 1, 1995",English,Fairly easy to read.,18345
Wuthering Heights,https://www.gutenberg.org/ebooks/768,Emily Brontë,"Dec 1, 1996",English,Fairly difficult to read.,18003
The call of the wild,https://www.gutenberg.org/ebooks/215,Jack London,"Jul 2, 2008",English,Fairly easy to read.,17995
Don Quijote (Spanish),https://www.gutenberg.org/ebooks/2000,Miguel de Cervantes Saavedra,"Dec 1, 1999",Spanish,Difficult to read.,17874
Through the Looking-Glass,https://www.gutenberg.org/ebooks/12,Lewis Carroll,"Jun 25, 2008",English,Fairly easy to read.,15984
The Idiot,https://www.gutenberg.org/ebooks/2638,Fyodor Dostoyevsky,"May 1, 2001",English,Plain English. Easily understood.,15740
Around the World in Eighty Days,https://www.gutenberg.org/ebooks/103,Jules Verne,"Jan 1, 1994",English,Plain English. Easily understood.,15004
"Poems by Emily Dickinson, Three Series, Complete",https://www.gutenberg.org/ebooks/12242,Emily Dickinson,"May 1, 2004",English,Plain English. Easily understood.,10086
The Raven,https://www.gutenberg.org/ebooks/17192,Edgar Allan Poe,"Nov 30, 2005",English,Plain English. Easily understood.,2086
"Curiosities of Literature,  Vol. 2",https://www.gutenberg.org/ebooks/16350,Isaac Disraeli,"Jul 24, 2005",English,Fairly difficult to read.,1269
The Complete Poetical Works of Henry Wadsworth Longfellow,https://www.gutenberg.org/ebooks/1365,Henry Wadsworth Longfellow,"Jun 1, 1998",English,Plain English. Easily understood.,1177
"The Complete Works of Robert Burns: Containing his Poems, Songs, and Correspondence.",https://www.gutenberg.org/ebooks/18500,Robert Burns and Allan Cunningham,"Jun 4, 2006",English,Fairly difficult to read.,1001
"Curiosities of Literature, Vol. 1",https://www.gutenberg.org/ebooks/21615,Isaac Disraeli,"May 26, 2007",English,Difficult to read.,987
Bibliomania; or Book-Madness,https://www.gutenberg.org/ebooks/28540,Thomas Frognall Dibdin,"Apr 8, 2009",English,Difficult to read.,972
"Curiosities of Literature, Vol. 3",https://www.gutenberg.org/ebooks/31078,Isaac Disraeli,"Jan 25, 2010",English,Difficult to read.,903
A Book for All Readers,https://www.gutenberg.org/ebooks/22608,Ainsworth Rand Spofford,"Sep 15, 2007",English,Fairly difficult to read.,883
"Old English libraries :  the making, collection, and use of books during the Middle Ages",https://www.gutenberg.org/ebooks/1615,Ernest Albert Savage,"Jan 1, 1999",English,Fairly difficult to read.,703
The Love of Books: The Philobiblon of Richard de Bury,https://www.gutenberg.org/ebooks/626,Richard de Bury,"Aug 1, 1996",English,Fairly difficult to read.,611
The Haunted Bookshop,https://www.gutenberg.org/ebooks/172,Christopher Morley,"Oct 1, 1994",English,Plain English. Easily understood.,570
The Book-Hunter in London,https://www.gutenberg.org/ebooks/22607,W. Roberts,"Sep 15, 2007",English,Fairly difficult to read.,514
"New Poems, and Variant Readings",https://www.gutenberg.org/ebooks/441,Robert Louis Stevenson,"Feb 1, 1996",English,Difficult to read.,500
